Rank,Year,Artist,Song1,Chart_Year
241,1956,The Heartbeats [Doo Wop],Oh Baby Don't,1995
242,1969,The Archies,Melody Hill,1995
243,1960,LaVern Baker,My Time Will Come,1995
244,1970,The Partridge Family,Somebody Wants To Love You,1995
245,1973,Marvin Gaye,I Wish It Would Rain,1995
246,1966,The Casinos,I Still Love You,1995
247,1963,Dusty Springfield,Once Upon A Time,1995
248,1960,The Fendermen,Torture,1995
249,1960,The Everly Brothers,Always It's You,1995
250,1969,Neil Diamond,Dig In,1995
252,1966,Isley Brothers,This Old Heart Of Mine (Is Weak For You),1995
253,1965,The Righteous Brothers,Ebb Tide,1995
254,1963,The Angels,My Boyfriend's Back,1995
255,1957,Johnnie And Joe,Over The Mountain Across The Sea,1995
256,1965,The 4 Seasons,Let's Hang On!,1995
257,1968,The Foundations,Build Me Up Buttercup,1995
258,1964,The Beatles,Please Please Me,1995
259,1963,Jay And The Americans,Only In America,1995
260,1958,Conway Twitty,It's Only Make Believe,1995
261,1958,Bobby Day,Rock-In Robin,1995
262,1981,Neil Diamond,"Hello Again (Love Theme From ""The Jazz Singer"")",1995
263,1966,The 4 Seasons,Opus 17 (Don't You Worry 'Bout Me),1995
264,1963,The Earls,Never,1995
265,1966,Frank Sinatra,Summer WindFrank Sinatra With Count Basie And The Orchestra,1995
266,1968,The Monkees,Valleri,1995
267,1958,The Coasters,Yakety Yak,1995
268,1967,Procol Harum,A Whiter Shade Of Pale,1995
269,1963,Martha And The Vandellas,Heat Wave,1995
270,1980,John Lennon,(Just Like) Starting OverYoko Ono,1995
271,1957,Buddy Knox With The Rhythm Orchids,Party Doll,1995
272,1960,Bobby Rydell,Volare,1995
273,1967,The Association,Never My Love,1995
274,1969,The Beatles,Something,1995
275,1964,The Beach Boys,I Get Around,1995
276,1965,Bobby Vinton,Long Lonely Nights,1995
277,1969,Spiral Starecase,More Today Than Yesterday,1995
278,1981,Kenny Rogers,Through The Years,1995
279,1963,Vito And The Salutations,Unchained Melody,1995
280,1962,Ruby And The Romantics,Our Day Will Come,1995
281,1958,The Everly Brothers,All I Have To Do Is Dream,1995
282,1969,The Brooklyn Bridge,Blessed Is The Rain,1995
283,1968,The Beatles,Hey Jude,1995
284,1970,Badfinger,No Matter What,1995
285,1969,Zager And Evans,In The Year 2525 (Exordium & Terminus),1995
286,1959,Johnny Mathis,Misty,1995
287,1961,"The Chimes [60s, Brooklyn]",Only Love,1995
288,1979,Neil Diamond,September Morn',1995
289,1968,Bobby Goldsboro,Honey,1995
290,1970,Smokey Robinson And The Miracles,The Tears Of A Clown,1995
291,1958,Bobby Darin,Splish Splash,1995
292,1967,Lulu,The Boat That I Row,1995
293,1967,The Young Rascals,Groovin',1995
294,1962,Jay And The Americans,Dawning,1995
295,1968,Marvin Gaye,I Heard It Through The Grapevine,1995
296,1961,Gene Pitney,Town Without Pity,1995
297,1966,? (Question Mark) And The Mysterians,96 Tears,1995
298,1966,Jimmy Ruffin,What Becomes Of The Brokenhearted,1995
299,1964,The Beatles,I Want To Hold Your Hand,1995
