Rank,Year,Artist,Song1,Chart_Year
114,1960,The Paradons,I Want Love,1989
115,1956,The Cleftones,You're Driving Me Mad,1989
116,1958,Ritchie Valens,La Bamba,1989
117,1954,The Cadillacs,I Wonder Why,1989
118,1957,Johnny Mathis,The Twelfth Of Never,1989
119,1966,Percy Sledge,Love Me Like You Mean It,1989
120,1959,The Fireflies,Stella Got A Fella,1989
121,1964,The Beatles,There's A Place,1989
122,1967,Lulu,To Sir With Love,1989
123,1960,Bobby Darin,That's The Way Love Is,1989
124,1965,Lou Christie,Cryin' In The Streets,1989
125,1963,The Kingsmen,Haunted Castle,1989
126,1964,The Supremes,Ask Any Girl,1989
127,1968,Marvin Gaye,You're What's Happening (In The World Today),1989
128,1972,Elvis Presley,It's A Matter Of Time,1989
129,1956,Elvis Presley,Don't Be Cruel,1989
130,1959,Bobby Darin,Bullmoose,1989
131,1967,The Doors,The Crystal Ship,1989
132,1960,Roy Orbison,Here Comes That Song Again,1989
133,1958,Conway Twitty,I'll Try,1989
134,1968,Jay And The Americans,Since I Don't Have You,1989
135,1962,Freddy Cannon,"June, July, And August",1989
136,1964,The Beach Boys,Don't Worry Baby,1989
137,1970,The Beatles,You Know My Name (Look Up My Number),1989
138,1966,The Beach Boys,Let's Go Away For Awhile,1989
139,1979,Bob Seger And The Silver Bullet Band,Sunspot Baby,1989
140,1963,Little Peggy March,Wind-Up Doll,1989
141,1962,Little Eva,He Is The Boy,1989
142,1965,Sonny And Cher,It's Gonna Rain,1989
143,1958,Jackie Wilson,In The Blue Of Evening,1989
144,1968,Richard Harris,Didn't We,1989
145,1962,The Shirelles,Love Is A Swingin' Thing,1989
146,1960,Rosie And The Originals,Give Me Love,1989
147,1963,Martha And The Vandellas,A Love Like Yours (Don't Come Knocking Everyday),1989
148,1965,Simon And Garfunkel,We've Got A Groovey Thing Goin',1989
149,1961,The Jive Five,When I Was Single,1989
150,1964,Manfred Mann,What You Gonna Do?,1989
151,1963,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,Blue HawaiiA,1989
152,1973,Dawn Featuring Tony Orlando,Tie A Yellow Ribbon Round The Ole Oak Tree,1989
153,1970,Simon And Garfunkel,Bridge Over Troubled Water,1989
154,1962,The 4 Seasons,Big Girls Don't Cry,1989
155,1961,The Velvets Featuring Virgil Johnson,Tonight (Could Be The Night),1989
156,1958,Little Anthony And The Imperials,Tears On My Pillow,1989
157,1963,Lenny Welch,Since I Fell For You,1989
158,1956,Elvis Presley,Heartbreak Hotel,1989
159,1962,Marcie Blane,Bobby's Girl,1989
160,1961,Connie Francis,Where The Boys Are,1989
161,1958,The Videos,"Trickle, Trickle",1989
162,1959,The Impalas,Sorry (I Ran All The Way Home),1989
163,1966,The Association,Cherish,1989
164,1954,The Chords [New York],Sh-boom,1989
165,1958,The Teddy Bears,"To Know Him, Is To Love Him",1989
166,1964,Petula Clark,Downtown,1989
167,1965,Elvis Presley With The Jordanaires,Crying In The Chapel,1989
168,1961,Patsy Cline,Crazy,1989
169,1961,The Earls,Life Is But A Dream,1989
170,1956,Frankie Lymon And The Teenagers,The A.B.C's Of Love,1989
171,1966,The Happenings,See You In September,1989
172,1964,The Dave Clark Five,Because,1989
173,1958,Buddy Holly,Rave On,1989
174,1958,The Shields,You Cheated,1989
175,1962,Jive Five With Eugene Pitt,What Time Is It?,1989
176,1965,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1989
177,1953,The Harp-Tones,A Sunday Kind Of Love,1989
178,1962,Elvis Presley With The Jordanaires,Return To Sender,1989
179,1973,Billy Joel,Piano Man,1989
180,1957,Buddy Holly,Peggy Sue,1989
181,1956,Fats Domino,Blueberry Hill,1989
182,1957,Elvis Presley,All Shook Up,1989
183,1966,The Outsiders [USA],Time Won't Let Me,1989
184,1962,The Crystals,He's A Rebel,1989
185,1961,Ernie K-Doe,Mother-In-Law,1989
186,1961,Curtis Lee,Pretty Little Angel Eyes,1989
187,1958,The Coasters,Yakety Yak,1989
188,1957,Robert And Johnny,We Belong Together,1989
189,1956,Willows,Church Bells May Ring,1989
190,1964,The Devotions,Rip Van Winkle,1989
191,1964,The Ronettes,Walking In The Rain,1989
192,1960,The Platters,Harbor Lights,1989
193,1965,The Mama's And The Papa's,California Dreamin',1989
194,1963,Dusty Springfield,I Only Want To Be With You,1989
195,1963,Bobby Vinton,Blue Velvet,1989
196,1961,Ricky Nelson,Travelin' Man,1989
197,1960,Jimmy Charles And The Revelletts,A Million To One,1989
198,1959,The Dubs,Chapel Of Dreams,1989
199,1984,Stevie Wonder,I Just Called To Say I Love You,1989
200,1962,The Five Discs,Never Let You Go,1989
151,1963,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,No MoreB1,1989
152,1973,Dawn Featuring Tony Orlando,I Can't Believe How Much I Love You,1989
153,1970,Simon And Garfunkel,Keep The Customer Satisfied,1989
154,1962,The 4 Seasons,Connie-O,1989
155,1961,The Velvets Featuring Virgil Johnson,Spring Fever,1989
156,1958,Little Anthony And The Imperials,Two People In The World,1989
157,1963,Lenny Welch,Are You Sincere,1989
158,1956,Elvis Presley,I Was The One,1989
159,1962,Marcie Blane,A Time To Dream,1989
160,1961,Connie Francis,No One,1989
161,1958,The Videos,"Moonglow, You Know",1989
162,1959,The Impalas,"Fool, Fool, Fool",1989
163,1966,The Association,Don't Blame It On Me,1989
164,1954,The Chords [New York],Little Maiden,1989
165,1958,The Teddy Bears,Don't You Worry My Little Pet,1989
166,1964,Petula Clark,You'd Better Love Me,1989
167,1965,Elvis Presley With The Jordanaires,I Believe In The Man In The Sky,1989
168,1961,Patsy Cline,Who Can I Count On,1989
169,1961,The Earls,It's You,1989
170,1956,Frankie Lymon And The Teenagers,Share,1989
171,1966,The Happenings,He Thinks He's A Hero,1989
172,1964,The Dave Clark Five,Theme Without A Name,1989
173,1958,Buddy Holly,Take Your Time,1989
174,1958,The Shields,That's The Way It's Gonna Be,1989
175,1962,Jive Five With Eugene Pitt,Beggin' You Please,1989
176,1965,Mel Carter,A Sweet Little Girl,1989
177,1953,The Harp-Tones,I'll Never Tell,1989
178,1962,Elvis Presley With The Jordanaires,Where Do You Come From,1989
179,1973,Billy Joel,You're My Home,1989
180,1957,Buddy Holly,Everyday,1989
181,1956,Fats Domino,Honey Chile,1989
182,1957,Elvis Presley,That's When Your Heartaches Begin,1989
183,1966,The Outsiders [USA],Was It Really Real,1989
184,1962,The Crystals,I Love You Eddie,1989
185,1961,Ernie K-Doe,"Wanted, $10,000.00 Reward",1989
186,1961,Curtis Lee,Gee How I Wish You Were Here,1989
187,1958,The Coasters,Zing! Went The Strings Of My Heart,1989
188,1957,Robert And Johnny,Walking In The Rain,1989
189,1956,Willows,Baby Tell Me,1989
190,1964,The Devotions,(I Love You) For Sentimental Reasons,1989
191,1964,The Ronettes,How Does It Feel?,1989
192,1960,The Platters,Sleepy Lagoon,1989
193,1965,The Mama's And The Papa's,Somebody Groovy,1989
194,1963,Dusty Springfield,Once Upon A Time,1989
195,1963,Bobby Vinton,Is There A Place (Where I Can Go),1989
196,1961,Ricky Nelson,Hello Mary Lou,1989
197,1960,Jimmy Charles And The Revelletts,Hop Scotch Hop,1989
198,1959,The Dubs,Is There A Love For Me,1989
199,1984,Stevie Wonder,I Just Called To Say I Love You (Instrumental),1989
200,1962,The Five Discs,That Was The Time,1989
201,1958,The Platters,Twilight Time,1989
202,1960,The Passions,I Only Want You,1989
203,1961,The Edsels,Bells,1989
204,1964,The Beatles,I Feel Fine,1989
205,1962,Neil Sedaka,Breaking Up Is Hard To Do,1989
206,1959,Connie Francis,Lipstick On Your Collar,1989
207,1959,Santo And Johnny,Sleep Walk,1989
208,1964,The Beach Boys,I Get Around,1989
209,1960,The Skyliners,Pennies From Heaven,1989
210,1966,The Temptations,Ain't Too Proud To Beg,1989
211,1958,Elvis Presley,One NightElvis Presley With The Jordanaires,1989
212,1956,The 3 Friends,Blanche,1989
213,1963,The Surfaris,Wipe Out,1989
214,1957,Jerry Lee Lewis,Whole Lot Of Shakin' Going On,1989
215,1971,Chicago,Beginnings,1989
